Avg_expenditure_per_journey,Avg_expenditure_per_stay,Avg_duration_of_stay,Year,Region
677.2,64.1180110065453,10.5617749111224,2024,North Aegean
715.8597614213855,72.91586092164245,9.817613786260711,2023,North Aegean
638.1054525643915,58.36175532751397,10.933623380302341,2022,North Aegean
683.3312141380527,53.42965230455855,12.789362922351485,2021,North Aegean
559.1918065265412,42.26688090607089,13.230023000022772,2020,North Aegean
460.1345035099732,56.96233072014383,8.07787352962462,2019,North Aegean
422.20001054290833,52.73899547735142,8.00546174081417,2018,North Aegean
457.8850460440541,51.85177096556415,8.830653949083922,2017,North Aegean
398.5798897223552,53.19702866459954,7.4925216638574,2016,North Aegean
