geo,year,sector_employment
AT1,2008,220800.0
AT1,2008,198500.0
AT1,2008,526800.0
AT1,2008,465100.0
AT1,2008,314300.0
AT1,2008,212000.0
AT1,2008,475900.0
AT1,2008,393300.0
AT1,2009,213300.0
AT1,2009,190500.0
AT1,2009,520300.0
AT1,2009,458600.0
AT1,2009,313700.0
AT1,2009,212600.0
AT1,2009,488800.0
AT1,2009,403900.0
AT1,2010,207900.0
AT1,2010,185300.0
AT1,2010,524600.0
AT1,2010,461700.0
AT1,2010,319300.0
AT1,2010,217600.0
AT1,2010,496400.0
AT1,2010,410300.0
AT1,2011,207900.0
AT1,2011,185100.0
AT1,2011,537500.0
AT1,2011,472000.0
AT1,2011,325900.0
AT1,2011,224300.0
AT1,2011,501900.0
AT1,2011,414500.0
AT1,2012,207800.0
AT1,2012,184800.0
AT1,2012,544400.0
AT1,2012,477900.0
AT1,2012,336500.0
AT1,2012,234000.0
AT1,2012,510500.0
AT1,2012,420900.0
AT1,2013,208500.0
AT1,2013,185100.0
AT1,2013,546500.0
AT1,2013,478900.0
AT1,2013,340700.0
AT1,2013,238500.0
AT1,2013,513800.0
AT1,2013,423500.0
AT1,2014,207200.0
AT1,2014,184100.0
AT1,2014,553600.0
AT1,2014,484300.0
AT1,2014,342300.0
AT1,2014,242500.0
AT1,2014,521200.00000000006
AT1,2014,431100.0
AT1,2015,206500.0
AT1,2015,183500.0
AT1,2015,558700.0
AT1,2015,489500.0
AT1,2015,344700.0
AT1,2015,245500.0
AT1,2015,532100.0
AT1,2015,439600.0
AT1,2016,207100.0
AT1,2016,183900.0
AT1,2016,566000.0
AT1,2016,494100.0
AT1,2016,351000.0
AT1,2016,252000.0
AT1,2016,542200.0
AT1,2016,448000.0
AT1,2017,205100.0
AT1,2017,182500.0
AT1,2017,574000.0
AT1,2017,500600.0
AT1,2017,360300.0
AT1,2017,262200.0
AT1,2017,556700.0
AT1,2017,458100.0
AT1,2018,207700.0
AT1,2018,185200.0
AT1,2018,584200.0
AT1,2018,506700.0
AT1,2018,370700.0
AT1,2018,271900.0
AT1,2018,567200.0
AT1,2018,467000.0
AT1,2019,210700.0
AT1,2019,187900.0
AT1,2019,127300.0
AT1,2019,592400.0
AT1,2019,512500.0
AT1,2019,379600.0
AT1,2019,279200.0
AT1,2019,571100.0
AT1,2019,469100.0
AT1,2020,209100.0
AT1,2020,186400.0
AT1,2020,127400.0
AT1,2020,568900.0
AT1,2020,487800.0
AT1,2020,372900.0
AT1,2020,272200.0
AT1,2020,576600.0
AT1,2020,478400.0
AT1,2021,209200.0
AT1,2021,186500.0
AT1,2021,134100.0
AT1,2021,580400.0
AT1,2021,496500.0
AT1,2021,388100.0
AT1,2021,285500.0
AT1,2021,587400.0
AT1,2021,489400.0
AT1,2022,213300.0
AT1,2022,190400.0
AT1,2022,135400.0
AT1,2022,602800.0
AT1,2022,514400.0
AT1,2022,402000.0
AT1,2022,300400.0
AT1,2022,595600.0
AT1,2022,494500.0
AT1,2023,214200.0
AT1,2023,190500.0
AT1,2023,134200.0
AT1,2023,613700.0
AT1,2023,521600.0
AT1,2023,405900.0
AT1,2023,305000.0
AT1,2023,609100.0
AT1,2023,506100.0
AT12,2008,205300.0
AT12,2008,196300.0
AT12,2008,164300.0
AT12,2008,138700.0
AT12,2009,202500.0
AT12,2009,193500.0
AT12,2009,169000.0
AT12,2009,142100.0
AT12,2010,204400.0
AT12,2010,195200.0
AT12,2010,172100.0
AT12,2010,144900.0
AT12,2011,208900.0
AT12,2011,199600.0
AT12,2011,173200.0
AT12,2011,145500.0
AT12,2012,210100.0
AT12,2012,200900.0
AT12,2012,175400.0
AT12,2012,146900.0
AT12,2013,211400.0
AT12,2013,202000.0
AT12,2013,176200.0
AT12,2013,147300.0
AT12,2014,213700.0
AT12,2014,204000.0
AT12,2014,178300.0
AT12,2014,149000.0
AT12,2015,215500.0
AT12,2015,206000.0
AT12,2015,181500.0
AT12,2015,151700.0
AT12,2016,217000.0
AT12,2016,207500.0
AT12,2016,184600.0
AT12,2016,153900.0
AT12,2017,221000.0
AT12,2017,211000.0
AT12,2017,189000.0
AT12,2017,156900.0
AT12,2018,223500.0
AT12,2018,213400.0
AT12,2018,192700.0
AT12,2018,160100.0
AT12,2019,226900.0
AT12,2019,216600.0
AT12,2019,193100.0
AT12,2019,160100.0
AT12,2020,217700.0
AT12,2020,207400.0
AT12,2020,194500.0
AT12,2020,162600.0
AT12,2021,224200.0
AT12,2021,213200.0
AT12,2021,197000.0
AT12,2021,164700.0
AT12,2022,126600.0
AT12,2022,230700.0
AT12,2022,219400.0
AT12,2022,199000.0
AT12,2022,165800.0
AT12,2023,126800.0
AT12,2023,232600.0
AT12,2023,221000.0
AT12,2023,202500.0
AT12,2023,168800.0
AT13,2008,291400.0
