geo,year,source,nuts_label
eu27_2020,2008,greek_tourism_GDP,
eu27_2020,2009,greek_tourism_GDP,
eu27_2020,2010,greek_tourism_GDP,
eu27_2020,2011,greek_tourism_GDP,
eu27_2020,2012,greek_tourism_GDP,
eu27_2020,2013,greek_tourism_GDP,
eu27_2020,2014,greek_tourism_GDP,
eu27_2020,2015,greek_tourism_GDP,
eu27_2020,2016,greek_tourism_GDP,
eu27_2020,2017,greek_tourism_GDP,
eu27_2020,2018,greek_tourism_GDP,
eu27_2020,2019,greek_tourism_GDP,
eu27_2020,2020,greek_tourism_GDP,
eu27_2020,2021,greek_tourism_GDP,
eu27_2020,2022,greek_tourism_GDP,
eu27_2020,2023,greek_tourism_GDP,
