geo,nuts_labels,n_variants
EL30,Attica | Attiki | ΑΤΤΙΚΗΣ | Αττική,4
EL41,North Aegean | Voreio Aigaio | ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ | Βόρειο Αιγαίο,4
EL42,Notio Aigaio | South Aegean | ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ | Νότιο Αιγαίο,4
EL43,Crete | Kriti | ΚΡΗΤΗΣ | Κρήτη,4
EL51,"Anatoliki Makedonia, Thraki | Eastern Macedonia & Thrace | ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ | Ανατολική Μακεδονία, Θράκη",4
EL52,Central Macedonia | Kentriki Makedonia | ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ | Κεντρική Μακεδονία,4
EL53,Dytiki Makedonia | Western Macedonia | ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ | Δυτική Μακεδονία,4
EL54,Epirus | Ipeiros | Ήπειρος | ΗΠΕΙΡΟΥ,4
EL61,Thessalia | Thessaly | ΘΕΣΣΑΛΙΑΣ | Θεσσαλία,4
EL62,Ionia Nisia | Ionian Islands | ΙΟΝΙΩΝ ΝΗΣΩΝ | Ιόνια Νησιά,4
EL63,Dytiki Ellada | Western Greece | ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ | Δυτική Ελλάδα,4
EL64,Central Greece | Sterea Ellada | ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ | Στερεά Ελλάδα,4
EL65,Peloponnese | Peloponnisos | ΠΕΛΟΠΟΝΝΗΣΟΥ | Πελοπόννησος,4
